site_name,latitude,longitude,county,river_basin,ecoregion,source_file,source_description,latitude_source,longitude_source,county_source,river_basin_source,ecoregion_source
Unnamed Trib of North Canadian River: Chisholm Trail Park,35.4871,-97.7498,Canadian,Canadian R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib to Bird Creek: EW 136 Road,35.04332,-96.3988,Hughes,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib to Bird Creek: NS 371 / EW 134 (Dump Ground Road),35.07176,-96.40621,Hughes,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib to Croton Creek: N 176 Road,35.59687,-99.85535,Roger Mills,Washita R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib to Dirty Butter Creek: Crawford Park,36.1888055,-95.9828888,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib to Harlow Creek: Golden Acres,36.18867,-96.04142,Osage,Arkansas R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib to Little Joe Creek: LaFortune Park,36.07946667,-95.92121667,Tulsa,Arkansas R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib to Rock Creek: Davis Park,35.98938,-96.106,Creek,Arkansas R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib to Traders Creek: Salty Creek,36.68239,-99.27656,Woodward,Cimarron R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib to West Captain Creek: Harrah Road,35.58083333,-97.15866667,Oklahoma,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Trib. To Walnut Creek: Rockwell Avenue,35.12376,-97.63537,McClain,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Unnamed Tributary of Twin Hills Creek: S. 71st E. Ave.,36.0285,-95.8973,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Wall Trip Branch to the Baron Fork: Chicken Creek,35.91552,-94.82083,Cherokee,Illinois R.,Ozark Highlands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Walnut Creek: Purcell,34.99915,-97.3624166,McClain,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Washita River: Black Kettle,35.6203333,-99.7123611,Roger Mills,Washita R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Washita River: McClure (N 2070),35.6570555,-99.3059444,Custer,Washita R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Washita River: Riverside,35.6374722,-99.2741388,Custer,Washita R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
West Cache Creek,34.62699,-98.64412,Comanche,Upper Red R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
West Cache Creek: Boulder Picnic Area,34.7000277,-98.6769166,Comanche,Upper Red R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
West Cache Creek: Hwy 62,34.639,-98.64686,Comanche,Upper Red R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
West Elm Creek: S.E. 164th,35.305,-97.35638889,Oklahoma,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
West Elm: Douglas Blvd.,35.31817,-97.3706,Cleveland,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Wewoka Creek: Lima (N 3610),35.1721944,-96.5816666,Seminole,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
"Whitewater Creek: D 4650, Scott",36.497,-94.75716667,Delaware,Arkansas R.,Ozark Highlands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Whitewater Creek: E 330 Road,36.539,-94.75964,Delaware,Arkansas R.,Ouachita Mountains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Wildhorse Creek: N 3520 Road,35.92025,-96.7316111,Lincoln,Cimarron R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
"Wildhorse Tributary: D3790, Peach Orchard Road",36.3315,-96.23786667,Osage,Arkansas R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Wolf Creek: Cherokee (S 680),36.62163889,-94.766,Delaware,Arkansas R.,Ozark Highlands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Wolf Creek: McMahon Soccer Park,34.59065,-98.43493,Comanche,Upper Red R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Wolf Creek: Prentice,36.85422,-97.01372,Kay,Arkansas R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Wolf Creek: US Hwy 283,36.30192,-99.88236,Ellis,Canadian R.,Southwestern Tablelands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Wolf Creek: US Hwy 46,36.32638889,-99.76080556,Ellis,Canadian R.,Southwestern Tablelands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Wolf Creek: Gore Blvd.,34.60876,-98.44398,Comanche,Upper Red R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
"Woods Creek: Hwy 63, Whitesboro",34.69272222,-94.88238889,LeFlore,Little R.,Ouachita Mountains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Yashoo Creek: Little River NWR,33.9486944,-94.7345,McCurtain,Little R.,South Central Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Bird Creek: Avant,36.48522,-96.061,Osage,Arkansas R.,,cleaned_chemical_data.csv,Original chemical data,cleaned_chemical_data.csv,cleaned_chemical_data.csv,cleaned_chemical_data.csv,cleaned_chemical_data.csv,
Little Deep Creek: Weatherford,35.51852778,-98.70008333,Custer,Canadian R.,,cleaned_chemical_data.csv,Original chemical data,cleaned_chemical_data.csv,cleaned_chemical_data.csv,cleaned_chemical_data.csv,cleaned_chemical_data.csv,
Chisholm Creek: 33rd & Western,35.6233,-97.5335,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Trib to Coody Creek: Robison Park,35.7318,-95.3565,Muskogee,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Boomer Creek: 3rd Ave,36.1190586,-97.0518204,Payne,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Cloudy Creek: Glass,34.3037,-95.2874,Pushmataha,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Coffee Creek: N. Sooner Rd.,35.68991,-97.425225,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Coal Creek: N. Sara Rd.,35.2967,-97.7063,Grady,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
"Little Deep Creek: Weatherford, Upstream of Treat",35.51852778,-98.70008333,Custer,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Crutcho Creek: First Baptist Church,35.401388,-97.4232,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Little River: N. Porter Ave.,35.2688,-97.44136,Cleveland,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Shell Branch: Pruitt,35.93278,-94.5992,Adair,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Brush Creek: 460 Road,36.4053,-94.7955,Delaware,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Cat Creek: Park on Muskogee Ave.,36.302753,-95.615872,Rogers,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
East Cache Creek: Rodgers Lane,34.63778,-98.3618,Comanche,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Haikey Tributary: 101st Street South,36.0172777,-95.8605555,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Sanborn-Hazen Lake Creek: Strickland Park,36.125329,-97.05840954,Payne,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Horse Creek: S 540 Road,36.677748,-94.908947,Ottawa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Sandy Creek: Bennett,34.650789,-98.79465,Comanche,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
West Elm Creek: S. Douglas,35.318175,-97.3706,Cleveland,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Northeast Creek: MetroTech,35.511583,-97.478173,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Silver Creek: Spencer Rd.,35.518167,-97.379424,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Twin Hills Creek: E 121st St. S.,35.98365,-95.895308,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Boomer Creek: S. Perkins,36.1122395,-97.0515,Payne,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Crow Creek: Casica Hall,36.126994,-95.966,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Arkansas Trib: Harris,36.164808,-96.20892,Osage,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Spring Creek: Evans,36.13431,-94.932584,Cherokee,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Haikey Creek Trib: Wolf Creek Park Bridge,36.024557,-95.8229,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Town Creek: Paul Mathies Dr.,35.063401,-94.628861,LeFlore,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Jessie Creek: Hwy 123,36.704841,-96.006563,Osage,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Sandy Creek,36.836846,-98.202871,Alfalfa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Clear Creek: Renfrow Rd.,34.622506,-97.849966,Stephens,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Mooser Creek: Riverfield,36.07944444,-96.018,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Stillwater Creek: Lakeview Rd.,36.144673,-97.316338,Payne,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Spring Creek: I-36,35.66854976,-96.93424741,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Soldier Creek: Hwy 67,35.64237005,-97.04029616,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Jessie Creek: Hwy 124,35.63399254,-97.07423176,Osage,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Little Sandy Creek: Hwy 100,35.62666222,-97.10392542,Pontotoc,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Flat Rock Creek: Hwy 76,35.60886001,-97.17603857,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Hog Creek: Park,35.459063,-94.768205,Sequoyah,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Spring Brook Creek: 3450 Rd.,34.865191,-96.860353,Pontotoc,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Bluff Creek: Broken Tree St,35.5931351,-97.6111154,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Twin Hills Creek: Hunter Park,36.031085,-95.911058,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Pepper Creek: Jeffords,36.29723,-96.86024,Pawnee,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Haikey Creek Trib: Houston,36.046422,-95.839697,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Mingo Creek: Hicks Park,36.11361111,-95.865,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Tahlequah Ross Branch: Town Confluence,35.89618,-94.97092,Cherokee,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Rock Creek: Garretts Lake Road,35.40571,-96.88651,Pottawatomie,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Little Lee Creek,35.631122,-94.580975,Sequoyah,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Soldier Creek: Reno Avenue,35.4644,-97.3804,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Coweta Creek: Roland Park,35.960193,-95.662992,Wagoner,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Sand Creek: Hwy 123,36.71912,-96.00741,Osage,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Cat Creek: Claremore Christian,36.320874,-95.620894,Rogers,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Deer Creek: N. Morgan Rd.,35.628756,-97.691779,Canadian,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Mingo Creek: Trib,36.106375,-95.853413,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Crow Creek: Discovery Lab,36.117039,-95.985216,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Salt Branch,36.327403,-95.305193,Mayes,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Skeleton Creek: E. Southgate Road,36.361655,-97.8006,Garfield,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Boggy Creek: S. 30th Street,36.390171,-97.836942,Garfield,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Mingo Creek: 61st,36.07567,-95.870893,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Hager Creek: E 91st St S,36.031944,-95.998055,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Baron Fork: Dean,35.908187,-94.528896,Adair,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Fourteenmile Creek,35.9591,-95.1825,Cherokee,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Hog Creek: SE 149th,35.319135,-97.249651,Cleveland,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Vensel Creek: 91st Street South,36.03197222,-95.93666667,Tulsa,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Walnut Creek: W Hefner Rd,35.5808,-97.6609,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Polecat Creek: Taft Ave,35.988207,-96.082219,Creek,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Big Spring Trib of Bitter Creek: Big Spring Picni,35.93325,-98.44216667,Blaine,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Chouteau Creek: Bryant Rd,35.072835,-97.321311,Cleveland,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
North Fork Little River: S. Veterans Park,35.327185,-97.45899,Cleveland,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
West Captain Trib: Harrah Road,35.58083333,-97.15866667,Oklahoma,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
Wildhorse Creek,34.6091,-97.9229,Stephens,,,cleaned_updated_chemical_data.csv,Updated chemical data,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,cleaned_updated_chemical_data.csv,,
