Parameter,2012,2016,2022
WQ SampleID,49692,56752,66655
WBID,OK410300-03-0270L,OK410300-03-0270L,OK410300-03-0270L
Site Name,Tenmile Creek: Davis,Tenmile Creek: Davis,Tenmile Creek: Davis
Date,18-Jun-12,22-Aug-16,22-Jun-22
Direction,Downstream,Downstream,Downstream
Instream Cover,17.7,15,14
Pool Bottom Substrate,12.3,10.7,6.9
Pool Variability,14,18.8,20
Canopy Cover Shading,15.3,18.3,17
Presence of Rocky Runs or Riffles,9,0,5.9
Flow,20,0,6.3
Channel Alteration,8.7,5.8,1.4
Channel Sinuosity,0,-0.1,0.8
Bank Stability,7.3,7.4,7.7
Bank Vegetation Stability,4.4,2.6,6.4
Streamside Cover,9.6,10,9.1
Total Points,118.2,88.5,96.1