site_name,latitude,longitude,county,river_basin,ecoregion
Adams Creek: Broken Arrow High School,36.07472222,-95.76861111,Tulsa,Arkansas R.,Central Irregular Plains
Adams Creek: Oak Grove Road,36.0958,-95.6724,Wagoner,Arkansas R.,Central Irregular Plains
Ballard Creek: E 0660 (Oak Hill),36.06111667,-94.573,Adair,Illinois R.,Ozark Highlands
Ballard Creek: Wainscott,36.014656,-94.548142,Adair,Illinois R.,Ozark Highlands
Bandy Creek: Pleasant Hill Road,34.90841667,-95.29630556,Latimer,Arkansas R.,Arkansas Valley
Baron Fork River: Welling Road,35.86811111,-94.897,Cherokee,Illinois R.,Ouachita Mountains
"Bear Creek: E 0110 Road, Kaw Tribe",36.8537222,-96.88425,Kay,Arkansas R.,Flint Hills
Bear Creek: Miller Ranch,35.68744444,-98.6105,Blaine,Canadian R.,Central Great Plains
Beaty Creek,36.35007,-94.783425,Delaware,Arkansas R.,Ozark Highlands
Beaty Creek: Curry Cabin,36.41122222,-94.62563889,Delaware,Arkansas R.,Ozark Highlands
Beaver Creek: N 4370 Rd,35.1122,-95.24357,Haskell,Arkansas R.,Arkansas Valley
Big Cabin Creek: E 90 Road,36.888106,-95.169349,Craig,Arkansas R.,Central Irregular Plains
Big Spring Trib of Bitter Creek: Big Spring Picnic Area,35.93325,-98.44216667,Blaine,Cimarron R.,Central Great Plains
Bird Creek: Rustic Lounge,36.293267,-95.960829,Tulsa,Arkansas R.,Central Irregular Plains
Bird Creek: Walnut St.,35.887277,-97.416415,Logan,Cimarron R.,Central Great Plains
Bishop Creek Tributary: Basket 12,35.20769,-97.41724,Cleveland,Canadian R.,Central Great Plains
Bishop Creek: Constitution & Hwy 9,35.18047222,-97.43127778,Cleveland,Canadian R.,Central Great Plains
Bishop Creek: Constitution Street,35.18958,-97.42893,Cleveland,Canadian R.,Central Great Plains
Bishop Creek: Eastwoods Park,35.21316,-97.43333,Cleveland,Canadian R.,Central Great Plains
Bishop Creek: Lindsey Street,35.20375,-97.43582,Cleveland,Canadian R.,Central Great Plains
Bixby Creek: Riverview,35.932747,-95.876903,Tulsa,Arkansas R.,Central Irregular Plains
Black Bear Creek: Railroad Yard,36.342272,-96.80223,Pawnee,Arkansas R.,Central Great Plains
Black Fork of Poteau River: CR D1513,34.8245166,-94.62565,LeFlore,Arkansas R.,Arkansas Valley
Black Fox Creek: Illinois Confluence,36.11716667,-94.80933333,Cherokee,Illinois R.,
Blackboy Creek: Limestone Crossing (aka Bigheart Creek),36.1726111,-96.0825833,Osage,Arkansas R.,Cross Timbers
Blue Beaver Creek: Pecan Road,34.5361666,-98.5655277,Comanche,Upper Red R.,Central Great Plains
Bluff Creek: Battiest,34.44914,-94.94017,McCurtain,Little R.,Ouachita Mountains
Bluff Creek: NW 150th,35.62381,-97.6,Oklahoma,Cimarron R.,Central Great Plains
Boiling Springs Creek: Scout Trail Bridge,36.45772222,-99.29869444,Woodward,Canadian R.,Central Great Plains
Boomer Creek @ 3rd Ave.,36.1191,-97.0518,Payne,Cimarron R.,Cross Timbers
Boomer Creek @ S. Perkins Rd,36.11224,-97.0515,Payne,Cimarron R.,Cross Timbers
Boomer Creek: McElroy,36.1302777,-97.0558611,Payne,Cimarron R.,Cross Timbers
Brookhaven Creek: North of Main,35.219267,-97.502944,Cleveland,Canadian R.,Central Great Plains
Brush Creek,36.4054,-94.7956,Delaware,Arkansas R.,Ouachita Mountains
Brush Creek: nr. Jay,36.3698,-94.8037,Delaware,Arkansas R.,Ozark Highlands
Buckhorn Creek: Binderim Road,34.43369444,-96.94388889,Murray,Washita R.,Cross Timbers
Buckhorn Creek: Ramsey,34.709177,-97.962334,Grady,Upper Red R.,Cross Timbers
Buffalo Creek: Ballard,34.3908888,-94.4725833,McCurtain,Little R.,Ouachita Mountains
Buffalo Creek: Cosby,36.84039,-99.69523,Harper,Cimarron R.,Central Great Plains
Buffalo Creek: Hwy 74B,35.1025,-97.61137,McClain,Canadian R.,Cross Timbers
Campbell Creek: OCU Property,35.41521,-97.6515,Oklahoma,Canadian R.,Central Great Plains
Caston Creek: CR 149,34.96628,-94.75188,LeFlore,Arkansas R.,Arkansas Valley
Cat Creek: Muskogee Ave,36.302753,-95.615872,Rogers,Arkansas R.,Central Irregular Plains
Catfish Creek: Hwy 66,35.82016667,-96.412,Creek,Canadian R.,Cross Timbers
Cave Springs Branch of Honey Creek,36.56305556,-94.639,Delaware,Arkansas R.,Ozark Highlands
Cedar Hollow Creek: Nickel Preserve,35.99871,-94.89736,Cherokee,Illinois R.,Ouachita Mountains
Chambers Creek,36.23417,-95.64345,Rogers,Arkansas R.,Central Irregular Plains
Cherry Creek: Rainwater,36.364727,-95.882753,Tulsa,Arkansas R.,Central Irregular Plains
Chisholm Creek: Sunny Hollow Road,35.6439,-97.52791,Oklahoma,Cimarron R.,
Chisholm Creek: Western,35.6233,-97.5335,Oklahoma,Cimarron R.,Cross Timbers
Chisholm Creek: NW 186 & Western,35.660447,-97.532443,Oklahoma,Cimarron R.,Cross Timbers
Chisholm Creek: Sorghum Mill Rd,35.71095,-97.53001,Oklahoma,Cimarron R.,Cross Timbers
Choctaw Creek: Indian Meridian,35.499895,-97.247462,Oklahoma,Canadian R.,
Choctaw Creek: Triple X Rd.,35.502458,-97.230161,Oklahoma,Canadian R.,
Chuckwa Creek: Carl Albert Park,34.01668,-96.3865,Bryan,Lower Red R.,South Central Plains
Clear Boggy Creek: Hwy 377,34.703326,-96.63493,Pontotoc,Lower Red R.,Arkansas Valley
Clear Boggy Creek: Winter Smith Bridge,34.75786,-96.65497,Pontotoc,Lower Red R.,Arkansas Valley
Clear Creek,33.9405,-95.1204,McCurtain,Lower Red R.,South Central Plains
Cloud Creek: Hall's,36.314572,-94.755174,Delaware,Arkansas R.,Ozark Highlands
Cloudy Creek,34.30374,-95.28748,Pushmataha,Little R.,Ouachita Mountains
Coal Creek: Elwood,36.00655556,-95.99369444,Tulsa,Arkansas R.,
Coal Creek: EW 137 Road (Mail Route Road),35.0337,-96.16512,Hughes,Canadian R.,Arkansas Valley
Coal Creek: Hwy 11,36.19556,-95.915,Tulsa,Arkansas R.,Central Irregular Plains
Coal Creek: Morris Park,35.98608333,-96.007,Tulsa,Arkansas R.,Cross Timbers
Coal Creek: Morris Creek,35.98608,-96.0069166,Tulsa,Arkansas R.,Central Irregular Plains
Coal Creek: N. Sara Rd,35.296694,-97.706278,Grady,Canadian R.,Central Great Plains
Coffee Creek: Hwy 66,35.65996,-97.33218,Oklahoma,Canadian R.,Cross Timbers
Coffee Creek: N Sooner Rd,35.6899,-97.42504,Oklahoma,Canadian R.,Cross Timbers
Cotton Creek,36.932026,-95.81389,Nowata,Arkansas R.,Central Irregular Plains
Cow Creek: West Virginia Avenue,36.12318,-97.09975,Payne,Cimarron R.,Cross Timbers
Cow Creek: Hwy 51,36.11605,-97.09904,Payne,Cimarron R.,Cross Timbers
Crooked Oak Creek: SE 22nd St.,35.442151,-97.467247,Oklahoma,Canadian R.,Central Great Plains
Croton Creek: Unit 71,35.58902778,-99.83636111,Roger Mills,Washita R.,Central Great Plains
Crow Creek: Zink Park,36.11806,-95.97,Tulsa,Arkansas R.,Cross Timbers
Crutcho Creek: I-40,35.45151,-97.43491,Oklahoma,Canadian R.,Cross Timbers
Crutcho Creek: North Sooner Road,35.47219444,-97.42352778,Oklahoma,Canadian R.,Cross Timbers
Crutcho Creek: First Southern Baptist Church,35.4014,-97.4232,Oklahoma,Canadian R.,Cross Timbers
Dave Blue Creek: 60th Ave. SE,35.18458,-97.353115,Cleveland,Canadian R.,Cross Timbers
Deep Fork River: Britton Road,35.56572,-97.44539,Oklahoma,Canadian R.,Cross Timbers
Deep Fork River: E 0930 Road,35.66655,-96.6800333,Lincoln,Canadian R.,Cross Timbers
Deep Fork River: Eastern,35.53458,-97.47682,Oklahoma,Canadian R.,Cross Timbers
Deep Fork River: Greyhound Track,35.54058,-95.91225,Okmulgee,Canadian R.,Cross Timbers
Deep Fork River: Hwy 56 Bridge,35.6132222,-96.0238055,Okmulgee,Canadian R.,Cross Timbers
Deep Fork River: River Bend,35.5798333,-95.9845555,Okmulgee,Canadian R.,Cross Timbers
Deep Fork River: Rocky Shoals,35.5781944,-95.9943888,Okmulgee,Canadian R.,Cross Timbers
Deep Fork River: Wilshire (Site # 110),35.55114167,-97.459,Oklahoma,Canadian R.,Cross Timbers
Deep Fork Tributary: Classen,35.53349,-97.528907,Oklahoma,Canadian R.,Central Great Plains
Deer Creek: Hwy 4,35.61830556,-97.745,Canadian,Cimarron R.,Central Great Plains
Deer Creek: Meridian Avenue,35.66936111,-97.60275,Oklahoma,Cimarron R.,Central Great Plains
Deer Creek: Coffee Creek Rd.,35.696595,-97.57895,Oklahoma,Cimarron R.,Central Great Plains
Delaware Creek: Camp Simpson Witch Hole,34.40928,-96.540661,Johnston,Lower Red R.,Arbuckle
Delaware Creek: Hwy 97 Bridge,36.2555,-96.1216,Osage,Arkansas R.,Cross Timbers
Dirty Butter Creek: 36th St N,36.206091,-95.969059,Tulsa,Arkansas R.,
Dirty Creek: N 4370 Rd.,35.51223,-95.23845,Muskogee,Arkansas R.,
Doe Creek: Yearling,36.50706,-97.32506,Noble,Arkansas R.,Central Great Plains
Dog Creek: Blue Starr Dr.,36.321794,-95.57908,Rogers,Arkansas R.,Central Irregular Plains
Double Spring Creek: W 730 Road,35.959664,-95.076129,Cherokee,Arkansas R.,Ozark Highlands
Double Springs Creek: Morgan,35.96186111,-95.05377778,Cherokee,Arkansas R.,Ozark Highlands
Duck Creek: Myers Park,36.11162,-97.08418,Payne,Cimarron R.,Cross Timbers
Duck Creek: Ridge & Arrowhead,36.12138,-97.0861,Payne,Cimarron R.,
East Brush Creek: McElroy Rd.,36.13072,-97.00242,Payne,Cimarron R.,
East Cache Creek: Big Green,34.58692,-98.37067,Comanche,Upper Red R.,Central Great Plains
East Cache Creek: Rogers Lane,34.63778,-98.3618,Comanche,Upper Red R.,Central Great Plains
Elm Creek Wetlands: East Creek,36.28,-95.821,Tulsa,Arkansas R.,Central Irregular Plains
Elm Creek Wetlands: Pond Outfall,36.27916667,-95.822,Tulsa,Arkansas R.,Central Irregular Plains
Elm Creek Wetlands: West Creek,36.27972222,-95.823,Tulsa,Arkansas R.,
Elm Creek: 66th Street North,36.25455556,-95.83,Tulsa,Arkansas R.,Central Irregular Plains
Elm Creek: Indian Hills Road,35.2907,-97.34877,Cleveland,Canadian R.,Cross Timbers
Ewers Creek: D0418 Road,36.40177778,-99.00077778,Woodward,Cimarron R.,Central Great Plains
Feather Creek: Old Hwy 51,36.1308888,-96.8801944,Payne,Cimarron R.,Central Great Plains
Fish Creek: NS393,35.27547222,-96.01644444,Hughes,Canadian R.,Arkansas Valley
Flat Rock Creek: E1140 Road,35.3625277,-96.2328333,Okfuskee,Canadian R.,Cross Timbers
Flat Rock Creek: Hwy 75,36.22514,-95.94467,Tulsa,Arkansas R.,Cross Timbers
Flatrock Creek: Peoria,36.213253,-95.975761,Tulsa,Arkansas R.,Central Irregular Plains
"Flint Creek: Fiddlers Bend, Above Illinois River",36.17488889,-94.71891667,Delaware,Illinois R.,Ozark Highlands
"Fourche Maline Creek: Ayerdale Road, near Red Oak",34.9124,-95.156,Latimer,Arkansas R.,
Fourche Maline Creek: Black Loop,34.9184,-95.2174,Latimer,Arkansas R.,Arkansas Valley
Fourche Maline Creek: Centerpoint Road,34.9334,-95.321,Latimer,Arkansas R.,Arkansas Valley
Fourche Maline Creek: Robbers Cave State Park,35.00280556,-95.336,Latimer,Arkansas R.,Arkansas Valley
Fourmile Creek: Adams Park,35.53243,-97.97684,Canadian,Canadian R.,Central Great Plains
Frazier Creek: Williams,34.6998,-94.97273,LeFlore,Little R.,Ouachita Mountains
Fred Creek: Evanston,36.0515,-95.9469,Tulsa,Arkansas R.,Cross Timbers
Fred Creek: Pebble,36.057186,-95.935454,Tulsa,Arkansas R.,Central Irregular Plains
Gobbler Creek Trib: EW 132 Road,35.10157,-96.08332,Hughes,Canadian R.,Arkansas Valley
Guy James Creek: NW Eubanks St.,35.5074,-97.51885,Oklahoma,Canadian R.,Cross Timbers
Guy Sandy Creek,34.519045,-97.025526,Murray,Washita R.,Cross Timbers
Hager Creek: E 91st St,36.0319444,-95.9980555,Tulsa,Arkansas R.,
Haikey Creek Tributary: Wolf Creek Park Bridge,36.024557,-95.822941,Tulsa,Arkansas R.,Central Irregular Plains
Haikey Creek: 121st Street,35.98833333,-95.85166667,Tulsa,Arkansas R.,Central Irregular Plains
Haikey Creek: Aspen Creek Park,36.049531,-95.811367,Tulsa,Arkansas R.,Central Irregular Plains
Haikey Tributary: Regent Preparatory School,36.03848,-95.88335,Tulsa,Arkansas R.,Central Irregular Plains
Harlow Creek: Edison,36.1610277,-96.0434444,Tulsa,Arkansas R.,Cross Timbers
Headquarters Creek: Scott,35.898955,-96.99832,Lincoln,Cimarron R.,Central Great Plains
Hickory Creek: Hwy 70,34.172433,-97.174944,Carter,Upper Red R.,Cross Timbers
Hog Creek,35.3195,-97.2497,Cleveland,Canadian R.,Cross Timbers
Holi-Tuska Trib,35.219305,-94.637633,Le Flore,Arkansas R.,Arkansas Valley
Holi-Tuska: Grants Farm,35.2190049,-94.63772899,Le Flore,Arkansas R.,Arkansas Valley
Holson Creek: D4598 (Summerfield),34.840533,-94.853164,LeFlore,Arkansas R.,
Hominy Creek: Cotton Gin Road,36.33929722,-96.04857778,Osage,Arkansas R.,Central Irregular Plains
"Hominy Creek: D 0410, Cotton Gin Road",36.4245277,-96.3370277,Osage,Arkansas R.,
Honey Creek: Berry Bluff,36.54222222,-97.71052778,Delaware,Arkansas R.,Central Great Plains
Honey Creek: Gerstner,36.54583333,-94.739,Delaware,Arkansas R.,Ozark Highlands
Honey Creek: Needham,36.54430556,-94.68819444,Delaware,Arkansas R.,Ozark Highlands
Horse Creek: S 540 Rd,36.677748,-94.908947,Ottawa,Arkansas R.,Central Irregular Plains
Jackson Creek: Pearce,34.730183,-95.092756,Latimer,Little R.,Ouachita Mountains
Jimmy Creek: Prose,34.7864,-98.58164,Comanche,Upper Red R.,Wichita Mountains
Joe Creek: Metro Christian,36.068273,-95.9616802,Tulsa,Arkansas R.,Central Irregular Plains
Kiowa Creek: Hollow N1620,36.658766,-100.10926,Beaver,Canadian R.,Southwestern Tablelands
Lake Creek: Winter Smith Bridge,34.75786,-96.65497,Pontotoc,Lower Red R.,Arkansas Valley
Lariat Creek: E 940 (American Horse Road),35.65265,-98.427367,Blaine,Canadian R.,Central Great Plains
Lightning Creek: SE 35th St.,35.4295,-97.5131,Oklahoma,Canadian R.,Central Great Plains
Little Beaver Creek: E 0030 Road,36.96991667,-96.81088889,Kay,Arkansas R.,Flint Hills
"Little Deep Creek: Weatherford, Upstream of Treatment Plant",35.51852778,-98.70008333,Custer,Canadian R.,Central Great Plains
Little Deep Fork (2): N 3650,35.81188889,-96.512,Creek,Canadian R.,Cross Timbers
Little Deep Fork Creek: E 0830 Road,35.813484,-96.435346,Creek,Canadian R.,Cross Timbers
Little Deep Fork: Hwy 48,35.80311111,-96.38661111,Creek,Canadian R.,Cross Timbers
Little Horse Creek,36.6977,-94.9093,Ottawa,Arkansas R.,Ozark Highlands
Little Mountain Trib. of Mountain Creek: N 4660,35.02475,-94.73568333,LeFlore,Arkansas R.,Arkansas Valley
Little Polecat Creek: Jones,35.96593,-96.247663,Creek,Arkansas R.,Cross Timbers
Little River: Little River Park,35.333004,-97.499467,Cleveland,Canadian R.,Central Great Plains
Little River: N. Porter Ave,35.26878,-97.44136,Cleveland,Canadian R.,
Little River: SW 34th Street,35.3053,-97.4868,Cleveland,Canadian R.,Central Great Plains
Little Sandy Creek: Chamber Loop,34.78297,-96.67247,Pontotoc,Canadian R.,Arkansas Valley
Little Sandy Creek: Hwy 99,34.84261,-96.686,Pontotoc,Canadian R.,Arkansas Valley
Little Stillwater Creek: Hwy 51 (Diamond Valley Church),36.11693,-96.94492,Payne,Cimarron R.,Central Great Plains
Little Wewoka Creek,35.2318,-96.2957,Hughes,Canadian R.,Cross Timbers
Long Creek: Chapple Farm,36.56994444,-99.18677778,Woodward,Cimarron R.,Central Great Plains
Lost Creek,36.80327778,-94.71455556,Ottawa,Arkansas R.,Ozark Highlands
Lost Creek: Woody,35.97655,-97.00729,Payne,Cimarron R.,Cross Timbers
Lukfata Creek,34.134602,-94.809665,McCurtain,Little R.,
Medicine Creek: Apache (Stayer),34.7778055,-98.6106388,Comanche,Upper Red R.,Wichita Mountains
Medicine Creek: Ft. Sill Ambrosia Springs Park,34.67339,-98.38594,Comanche,Upper Red R.,Central Great Plains
Merkle Creek: Brooks Street,35.2075,-97.47969,Cleveland,Canadian R.,Central Great Plains
Middle Creek: Buzzard Roost Ranch,35.17027,-96.05408,Hughes,Canadian R.,Arkansas Valley
Mill Creek: McClure Park,36.14972222,-95.891,Tulsa,Arkansas R.,Central Irregular Plains
Mill Creek: North Daube Ranch Road,34.38125,-96.839361,Johnston,Washita R.,Cross Timbers
Mill Creek: Prater,34.621944,-96.593889,Pontotoc,Lower Red R.,Arkansas Valley
Mill Creek: E1660 Rd,34.6067,-96.6435,Pontotoc,Lower Red R.,Arkansas Valley
Mingo Creek: 46th Street North,36.2203333,-95.8577777,Tulsa,Arkansas R.,Central Irregular Plains
Minnehaha Creek: Canton,36.05155,-98.5857,Blaine,Canadian R.,Central Great Plains
Minnehaha Creek: Mason Hall,36.04267,-98.60695,Blaine,Canadian R.,Central Great Plains
Mooser Creek Trib: Riverfield School,36.0792,-96.0184,Tulsa,Arkansas R.,Cross Timbers
Mooser Creek: Elwood,36.0875,-95.993,Tulsa,Arkansas R.,Cross Timbers
Mooser Creek: Pepsi,36.08558333,-95.999,Tulsa,Arkansas R.,Cross Timbers
Mooser Creek: South Haven,36.0809,-96.0377,Tulsa,Arkansas R.,Cross Timbers
Morris Creek: Gillham,34.952414,-94.618087,LeFlore,Arkansas R.,Arkansas Valley
Mountain Creek: D 4655 (Kennedy Bridge),35.00553,-94.74896,LeFlore,Arkansas R.,Arkansas Valley
Mountain Creek: E 1400 Road (Shiloh Crossing),34.98558,-94.74335,LeFlore,Arkansas R.,Arkansas Valley
Mountain Fork: Goat's Head,34.4683,-94.53508,McCurtain,Little R.,
Mud Creek: E 2170 Road,33.8665666,-94.72015,McCurtain,Little R.,South Central Plains
Mustang Creek: Morgan Road,35.43913889,-97.68863889,Canadian,Canadian R.,Central Great Plains
Nickel Creek: 91st Street,36.0319,-96.0284,Tulsa,Arkansas R.,Cross Timbers
"North Canadian River: Lake Road, Shawnee",35.333,-96.95986,Pottawatomie,Canadian R.,Cross Timbers
North Fork Creek: Estates Park Bridge,35.333024,-97.459137,Cleveland,Canadian R.,Central Great Plains
